x,y
-0.906,2.096
-0.178,1.15
0.588,0.04953
-3.81,4.753
3.24,-3.19
3.53,-3.707
-2.05,2.75
0.558,0.3991
4.37,-3.644
4.89,-5.317
-4.72,5.992
-1.87,2.906
-1.1,1.873
-1.78,4.139
-0.57,1.365
3.75,-3.225
-1.97,3.04
-1.94,2.952
-3.28,4.254
2.7,-2.535
-2.19,3.684
0.0627,0.8771
4.59,-5.34
-3.42,4.918
4.56,-4.678
4.24,-4.972
0.321,0.605
-1.11,1.763
0.792,0.2411
-0.503,1.207
-1.76,3.683
-4.07,5.346
4.49,-5.087
2.36,-1.684
0.119,0.36870000000000003
2.34,-2.03
3.13,-2.051
-2.66,3.612
-4.13,5.715
2.25,-2.861
-0.0189,1.124
3.82,-3.666
-0.128,1.003
1.74,-1.3
-0.0322,0.9307
3.62,-3.047
-2.27,3.441
0.8,0.3043
-3.63,5.327
-1.87,2.406
2.48,-1.816
1.61,-0.377
1.62,-1.515
-1.23,1.945
1.29,-1.033
2.37,-2.146
-0.0334,0.5658
-0.939,1.639
-4.47,5.476
2.66,-2.11
-2.95,4.159
1.99,-2.055
-2.2,4.198
-0.78,2.581
-1.98,3.473
-1.63,2.593
-4.29,6.033
3.35,-3.51
4.29,-4.439
0.331,0.6817
3.31,-3.747
-1.42,2.393
-1.56,3.137
-2.33,3.823
-1.69,2.806
4.44,-4.615
0.266,0.6345
-1.83,2.788
-2.63,3.681
-3.26,5.22
2.61,-2.617
-3.14,4.678
-1.14,2.689
-2.74,3.673
3.6,-3.027
0.219,0.1516
-4.4,6.063
-1.65,3.191
0.191,-0.09071
2.86,-2.084
-1.25,1.573
3.8,-3.882
-2.95,4.113
-1.63,3.195
4.74,-4.821
2.27,-1.721
-2.75,4.182
-3.3,5.225
-4.84,6.119
1.44,-1.405
-0.897,2.524
-2.57,3.336
2.28,-2.176
1.74,-1.082
-1.01,1.698
-2.91,3.911
-0.686,1.613
2.11,-1.743
-0.744,1.892
1.52,-1.641
-3.54,5.444
3.43,-3.659
1.58,-2.079
-2.84,4.654
0.348,0.7776
-3,4.091
1.19,-0.3512
4.97,-5.723
-4.67,7.186
-2.1,3.033
2.25,-2.033
-3.73,4.871
-3.76,5.401
-2.96,4.814
-2.93,4.009
2.05,-1.036
-2.21,2.86
-4.7,6.493
4.73,-4.544
3.76,-3.656
-1.34,2.205
2.45,-2.161
1.28,-0.987
3.43,-3.135
-3.49,5.157
1.34,-0.4637
-4.87,6.5
-1.2,2.27
3.84,-3.46
-4,5.907
-2.35,3.299
-2.86,4.629
-1.71,3.346
-1.95,3.237
-4.5,6.396
-1.73,3.159
2.82,-2.705
1.68,-1.327
-4.55,6.068
1.52,-1.567
4.59,-4.119
4.52,-5.221
0.498,0.7044
4.51,-4.746
-4.12,5.54
-2.07,2.92
-3.74,5.376
-3.01,4.468
4.9,-4.854
-0.41,1.022
-4.87,6.368
3.75,-3.415
-1.21,2.103
-4.99,7.372
4.24,-4.015
4.45,-4.548
-4.86,6.605
1.57,-0.8363
1.76,-1.098
4.49,-5.151
-4.49,6.268
3.4,-2.982
-1.85,2.563
0.237,0.1546
1.6,-0.9113
-2.74,4.457
4.75,-4.609
-4.73,6.693
-3.97,5.383
-1.61,2.949
-3.67,4.86
4.1,-4.512
0.0408,0.3163
-2.63,3.785
4.38,-4.255
-3.31,4.636
-3.81,5.029
-4.56,6.043
2.35,-2.465
-0.571,1.113
-4.59,5.762
3.69,-3.485
-2.62,3.616
-3.99,5.964
-4.99,6.474
-0.124,0.9546
2.32,-1.429
-4.57,6.169
0.398,0.1339
1.07,-0.4954
-1.16,1.484
-1.2,1.999
-1.27,2.411
-0.942,1.831
-4.46,5.788
0.103,0.5124
-2.08,3.414
3.59,-3.866
1.48,-0.4606
3.36,-3.14
3.55,-2.57
2.62,-2.222
-3.55,4.482
0.983,-0.7735
4.19,-3.787
4.59,-4.332
-3.83,5.148
-2.24,3.696
2.32,-2.09
0.157,0.6992
1.18,-0.09467
2.83,-2.976
-1.38,2.222
-4.42,6.538
-0.143,1.312
-0.92,1.821
2.33,-0.8032
-3.01,4.909
-1.11,2.474
2.08,-1.278
-3.44,4.753
1.44,-0.8339
